id_espece;nom_espece
927;TOMATE BIO
928;TOMATE BIO
929;TOMATE
930;POIS
931;CHENE BLONDE
932;CHENE BLONDE BIO
933;TOMATE
934;TOMATE BIO
935;TOMATE
936;CHOU-FLEUR
937;DIVERS
938;FLEUR
939;FLEUR
940;POIVRON
941;PASTEQUE
942;PASTEQUE
943;PASTEQUE
944;CHOU-FLEUR
945;SUCRINE
946;OIGNON BIO
947;PIMENT
948;BATAVIA BLONDE
949;LAITUE BIO
950;TOMATE BIO
951;CHOU-FLEUR
952;TOMATE
953;TOMATE BIO
954;TOMATE
955;TOMATE BIO
956;COURGETTE
957;COURGETTE BIO
958;ICEBERG
959;CONCOMBRE
960;CONCOMBRE BIO
961;MELON
962;MELON BIO
963;CHICOREE
964;PORTE GREFFE
965;CHOU-FLEUR
966;DIVERS
967;DIVERS BIO
968;DIVERS BIO
969;DIVERS
970;OIGNON
971;CHOU-BRUXELLES BIO
972;CHOU-FLEUR
973;CHOU-FLEUR BIO
974;MELON BIO
975;LAITUE
976;TOMATE CONSERVE
977;TOMATE
978;TOMATE
979;MELON
980;MELON
981;BATAVIA BLONDE BIO
982;CHOU-BRUXELLES
983;CHOU-BRUXELLES BIO
984;PASTEQUE
985;PASTEQUE BIO
986;CHOU-FLEUR ORANGE
987;TOMATE
988;TOMATE BIO
989;AUBERGINE
990;PIMENT
991;POIVRON BIO
992;POIVRON
993;TOMATE
994;TOMATE
995;CHOU-FLEUR
996;CHOU-LISSE
997;CHOU-LISSE BIO
998;FENOUIL
999;FENOUIL BIO
1000;CHOU-FLEUR
1001;PORTE GREFFE
1002;CHOU-FLEUR
1003;MELON
1004;MELON BIO
1005;TOMATE
1006;AVOINE BIO
1007;CELERI RAVE
1008;POTIMARRON
1009;PASTEQUE
1010;PASTEQUE
1011;TOMATE
1012;TOMATE
1013;TOMATE BIO
1014;BATAVIA BLONDE
1015;LAITUE
1016;CHENE ROUGE
1017;CHENE BLONDE
1018;CHENE ROUGE
1019;CHENE ROUGE BIO
1020;BATAVIA BLONDE
1021;CHENE ROUGE
1022;TOMATE BIO
1023;CORIANDRE
1024;CORIANDRE BIO
1025;CHOU-FLEUR
1026;EAZYLEAF (archivé)
1027;EAZYLEAF (archivé)
1028;TOMATE
1029;ECHALOTE
1030;ECHALOTE BIO
1031;ECHALOTE BIO
1032;ECHALOTE
1033;POIS
1034;ICEBERG BIO
1035;CHENE ROUGE
1036;CHENE ROUGE BIO
1037;LAITUE
1038;COURGETTE
1039;EPINARD
1040;OIGNON
1041;OIGNON
1042;PORTE GREFFE
1043;PORTE GREFFE BIO
1044;BASILIC
1045;BASILIC BIO
1046;BUTTERNUT
1047;SCAROLE
1048;SCAROLE BIO
1049;LAITUE
1050;EPINARD
1051;OIGNON
1052;CHENE BLONDE
1053;COURGETTE
