id_uv;id_espece;nom_uv;nombre_plant_par_plateaux;nombre_graine_par_motte
504;504;Pltx 96;96;1
505;505;Plateaux 176 Bio;176;1
506;506;Pltx 120 Bio écarté;120;1
507;507;Pltx 140 Bio;140;1
508;508;Pltx 150 écarté;150;1
509;509;Pltx 240 Polystyrène Bio écarté;240;1
510;510;Pltx 32 Bio repiqué;32;1
511;511;Pltx 50 Bio repiqué;50;1
512;512;Pltx 50 Bio repiqué écarté;50;1
513;513;Pltx 600 Bio;600;1
514;514;Pltx 96 Bio;96;1
515;515;Plateaux 176;176;1
516;516;Pltx 120 écarté;120;1
517;517;Pltx 140;140;1
518;518;Pltx 150 écarté;150;1
519;519;Pltx 240 Polystyrène écarté;240;1
520;520;Pltx 240 STAMP Plastique écarté;240;1
521;521;Pltx 50 repiqué écarté;50;1
522;522;Pltx 96;96;1
523;523;Plateaux 176 Bio;176;1
524;524;Pltx 120 Bio écarté;120;1
525;525;Pltx 140 Bio;140;1
526;526;Pltx 150 écarté;150;1
527;527;Pltx 240 Polystyrène Bio écarté;240;1
528;528;Pltx 32 Bio repiqué;32;1
529;529;Pltx 50 Bio repiqué;50;1
530;530;Pltx 50 Bio repiqué écarté;50;1
531;531;Pltx 600 Bio;600;1
532;532;Pltx 96 Bio;96;1
533;533;Plateaux 176;176;1
534;534;Pltx 120 écarté;120;1
535;535;Pltx 140;140;1
536;536;Pltx 150 écarté;150;1
537;537;Pltx 240 Polystyrène écarté;240;1
538;538;Pltx 240 STAMP Plastique écarté;240;1
539;539;Pltx 50 repiqué écarté;50;1
540;540;Pltx 96;96;1
541;541;Plateaux 176 Bio;176;1
542;542;Pltx 120 Bio écarté;120;1
543;543;Pltx 140 Bio;140;1
544;544;Pltx 150 écarté;150;1
545;545;Pltx 240 Polystyrène Bio écarté;240;1
546;546;Pltx 32 Bio repiqué;32;1
547;547;Pltx 50 Bio repiqué;50;1
548;548;Pltx 50 Bio repiqué écarté;50;1
549;549;Pltx 600 Bio;600;1
550;550;Pltx 96 Bio;96;1
551;551;Plateaux 176;176;1
552;552;Pltx 120 écarté;120;1
553;553;Pltx 140;140;1
554;554;Pltx 150 écarté;150;1
555;555;Pltx 240 Polystyrène écarté;240;1
556;556;Pltx 240 STAMP Plastique écarté;240;1
557;557;Pltx 50 repiqué écarté;50;1
558;558;Pltx 96;96;1
559;559;Plateaux 176 Bio;176;1
560;560;Pltx 120 Bio écarté;120;1
561;561;Pltx 140 Bio;140;1
562;562;Pltx 150 écarté;150;1
563;563;Pltx 240 Polystyrène Bio écarté;240;1
564;564;Pltx 32 Bio repiqué;32;1
565;565;Pltx 50 Bio repiqué;50;1
566;566;Pltx 50 Bio repiqué écarté;50;1
567;567;Pltx 600 Bio;600;1
568;568;Pltx 96 Bio;96;1
569;569;Plateaux 176;176;1
570;570;Pltx 120 écarté;120;1
571;571;Pltx 140;140;1
572;572;Pltx 150 écarté;150;1
573;573;Pltx 240 Polystyrène écarté;240;1
574;574;Pltx 240 STAMP Plastique écarté;240;1
575;575;Pltx 50 repiqué écarté;50;1
576;576;Pltx 96;96;1
577;577;Plateaux 176 Bio;176;1
578;578;Pltx 120 Bio écarté;120;1
579;579;Pltx 140 Bio;140;1
580;580;Pltx 150 écarté;150;1
581;581;Pltx 240 Polystyrène Bio écarté;240;1
582;582;Pltx 32 Bio repiqué;32;1
583;583;Pltx 50 Bio repiqué;50;1
584;584;Pltx 50 Bio repiqué écarté;50;1
585;585;Pltx 600 Bio;600;1
586;586;Pltx 96 Bio;96;1
587;587;Plateaux 176;176;1
588;588;Pltx 120 écarté;120;1
589;589;Pltx 140;140;1
590;590;Pltx 150 écarté;150;1
591;591;Pltx 240 Polystyrène écarté;240;1
592;592;Pltx 240 STAMP Plastique écarté;240;1
593;593;Pltx 50 repiqué écarté;50;1
594;594;Pltx 96;96;1
595;595;Plateaux 176 Bio;176;1
596;596;Pltx 120 Bio écarté;120;1
597;597;Pltx 140 Bio;140;1
598;598;Pltx 150 écarté;150;1
599;599;Pltx 240 Polystyrène Bio écarté;240;1
600;600;Pltx 32 Bio repiqué;32;1
601;601;Pltx 50 Bio repiqué;50;1
602;602;Pltx 50 Bio repiqué écarté;50;1
